,concentration,reference_energy,hull_energy,file_location
0,1.0,0.0,0.0,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0001_finished_approved/run_final_approved/OUTCAR
1,0.5,-30.61633214285767,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0002_finished_approved/run_final_approved/OUTCAR
2,0.0,0.0,0.0,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0003_finished_approved/run_final_approved/OUTCAR
3,0.75,-10.548247666667503,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0008_finished_approved/run_final_approved/OUTCAR
4,0.5,-5.201200714286155,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0009_finished_approved/run_final_approved/OUTCAR
5,0.25,-6.425964999998803,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0010_finished_approved/run_final_approved/OUTCAR
6,0.75,-11.22998766666825,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0011_finished_approved/run_final_approved/OUTCAR
7,0.5,-10.002049285714877,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0012_finished_approved/run_final_approved/OUTCAR
8,0.25,-12.554871153845134,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0013_finished_approved/run_final_approved/OUTCAR
9,0.75,-21.219913666667384,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0014_finished_approved/run_final_approved/OUTCAR
10,0.5,-30.366741428571636,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0015_finished_approved/run_final_approved/OUTCAR
11,0.25,-21.641894230769438,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0016_finished_approved/run_final_approved/OUTCAR
12,0.5,4.612655000000489,-33.16331300000083,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0018_finished_approved/run_final_approved/OUTCAR
13,0.25,4.3528788461541215,-24.344055641024216,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0019_finished_approved/run_final_approved/OUTCAR
14,0.75,-11.240213666666913,-21.496265444444713,/nfshome/sadowski/work/LiNiO2_data_base_Sabrina/DFT_database/CE_database_Marcel/02_enumerate_P21c_0-4fu/0020_finished_approved/run_final_approved/OUTCAR
